"candidate_id","rank","score","reasoning"
"CAND_0081846","1","1.0","7yr Lead AI Engineer at Razorpay; profile overlaps JD must-haves on refresh, index, ndcg; available in 30 days"
"CAND_0018499","2","0.898717","7yr Senior Machine Learning Engineer at Zomato; profile overlaps JD must-haves on deployed, ndcg, hands-on; available in 15 days; based in Noida, Uttar Pradesh; GitHub activity 95/100"
"CAND_0039754","3","0.815462","16yr Senior Applied Scientist at Meta; profile overlaps JD must-haves on refresh, index, ndcg; available in 30 days; GitHub activity 78/100; overlaps JD's exclusion language on landed, move"
"CAND_0099806","4","0.729104","AI Engineer (5yrs) at Mad Street Den; partial JD overlap; available in 30 days; GitHub activity 87/100"
"CAND_0042506","5","0.567896","Search Engineer (4yrs) at Verloop.io; partial JD overlap; available in 15 days; based in Mumbai, Maharashtra; GitHub activity 64/100"
"CAND_0068811","6","0.557881","Applied ML Engineer (8yrs) at Freshworks; partial JD overlap; available in 30 days; based in Pune, Maharashtra"
"CAND_0051004","7","0.480024","Senior Data Scientist (5yrs) at CRED; partial JD overlap; available in 15 days; based in Delhi, Delhi"
"CAND_0077337","8","0.479486","Staff Machine Learning Engineer (7yrs) at Paytm; partial JD overlap; GitHub activity 68/100"
"CAND_0041610","9","0.430346","Recommendation Systems Engineer (7yrs) at Zoho; partial JD overlap; available in 30 days"
"CAND_0054394","10","0.377609","Recommendation Systems Engineer (4yrs) at PharmEasy; partial JD overlap; available in 30 days; based in Pune, Maharashtra"
"CAND_0046525","11","0.333903","Senior Machine Learning Engineer (6yrs) at Genpact AI; partial JD overlap; based in Pune, Maharashtra"
"CAND_0036437","12","0.328421","Search Engineer (5yrs) at Rephrase.ai; partial JD overlap; available in 30 days"
"CAND_0010770","13","0.328134","Recommendation Systems Engineer (15yrs) at Aganitha; partial JD overlap; available in 30 days"
"CAND_0005311","14","0.288135","AI Research Engineer (6yrs) at Aganitha; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra; GitHub activity 70/100"
"CAND_0075574","15","0.243265","Machine Learning Engineer (6yrs) at Haptik; partial JD overlap"
"CAND_0005260","16","0.241337","Senior NLP Engineer (5yrs) at Netflix; partial JD overlap"
"CAND_0096104","17","0.216799","AI Specialist (7yrs) at Yellow.ai; partial JD overlap; available in 30 days; based in Delhi, Delhi; GitHub activity 72/100"
"CAND_0074342","18","0.201625","Data Scientist (6yrs) at Zoho; partial JD overlap; available in 30 days"
"CAND_0000031","19","0.200779","Recommendation Systems Engineer (6yrs) at Swiggy; partial JD overlap; based in Hyderabad, Telangana"
"CAND_0043860","20","0.194531","Junior ML Engineer (6yrs) at Aganitha; partial JD overlap; available in 30 days"
"CAND_0017178","21","0.183693","ML Engineer (4yrs) at Swiggy; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0086022","22","0.167526","Senior Applied Scientist (5yrs) at Sarvam AI; partial JD overlap; available in 0 days; GitHub activity 75/100; overlaps JD's exclusion language on optimizing, move"
"CAND_0091534","23","0.165307","AI Engineer (17yrs) at Flipkart; partial JD overlap; available in 30 days; GitHub activity 66/100"
"CAND_0053300","24","0.151468","Data Analyst (7yrs) at Dream11; partial JD overlap; available in 30 days"
"CAND_0049703","25","0.147776","Senior Data Engineer (7yrs) at Meesho; partial JD overlap; available in 30 days"
"CAND_0068932","26","0.147414","ML Engineer (5yrs) at Krutrim; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh; GitHub activity 70/100"
"CAND_0080766","27","0.145605","Staff Machine Learning Engineer (9yrs) at Salesforce; partial JD overlap; available in 0 days; overlaps JD's exclusion language on open-source, research-only"
"CAND_0017577","28","0.139932",".NET Developer (8yrs) at Flipkart; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0004337","29","0.134866","Frontend Engineer (7yrs) at Stark Industries; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0066710","30","0.134763","Data Engineer (7yrs) at Vedantu; partial JD overlap; available in 30 days"
"CAND_0030468","31","0.133894","Senior Applied Scientist (5yrs) at Swiggy; partial JD overlap; overlaps JD's exclusion language on research-only, optimizing"
"CAND_0048558","32","0.13192","Data Scientist (7yrs) at Rephrase.ai; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0052195","33","0.125647","Computer Vision Engineer (6yrs) at Sarvam AI; partial JD overlap; available in 30 days; GitHub activity 71/100"
"CAND_0017093","34","0.115744","ML Engineer (6yrs) at Zoho; partial JD overlap; available in 30 days; based in Hyderabad, Telangana; GitHub activity 84/100"
"CAND_0002025","35","0.111998","Senior AI Engineer (6yrs) at Apple; partial JD overlap; available in 30 days; based in Trivandrum, Kerala, not open to relocation; GitHub activity 97/100"
"CAND_0014292","36","0.10495","Software Engineer (4yrs) at Nykaa; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0046132","37","0.103745","AI Research Engineer (4yrs) at Verloop.io; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0094999","38","0.103049","Data Analyst (4yrs) at Nykaa; partial JD overlap; available in 30 days; based in Delhi, Delhi"
"CAND_0010080","39","0.09955","Civil Engineer (7yrs) at Globex Inc; partial JD overlap; available in 30 days"
"CAND_0033179","40","0.092989","AI Research Engineer (7yrs) at Wipro; partial JD overlap; available in 30 days"
"CAND_0005509","41","0.08704","Data Scientist (6yrs) at Ola; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh; GitHub activity 74/100"
"CAND_0057045","42","0.085745","Accountant (6yrs) at Dunder Mifflin; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0083879","43","0.082138","Machine Learning Engineer (7yrs) at Ola; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0064888","44","0.081619","ML Engineer (6yrs) at Verloop.io; partial JD overlap; available in 30 days"
"CAND_0081596","45","0.081285","Backend Engineer (6yrs) at Mindtree; partial JD overlap; available in 30 days"
"CAND_0032240","46","0.080785","Data Analyst (3yrs) at InMobi; partial JD overlap; available in 30 days; based in Delhi, Delhi; GitHub activity 72/100"
"CAND_0006567","47","0.079465","Senior AI Engineer (8yrs) at Meta; partial JD overlap; based in Noida, Uttar Pradesh; overlaps JD's exclusion language on judgment, research-only"
